MSO_Code,Device ID,Event Date,Event Time,Station Number,Program Code
01540,000000007d3d,20150104,110525,99993,MP_MISSINGPROGRAM
01540,000000007d3d,20150104,124400,70387,EP017888470010
01540,000000007d3d,20150104,130000,70387,EP015970980092
01540,000000007d3d,20150104,134123,11221,MV006650740000
01540,000000007d3d,20150104,134143,11221,MV006650740000
01540,000000007d3d,20150104,134149,14776,EP008842040100
01540,000000007d3d,20150104,134201,15295,MV000232030000
01540,000000007d3d,20150104,134211,21781,SH013799820000
01540,000000007d3d,20150104,134444,11069,EP011588160032
01540,000000007d3d,20150104,140246,18480,MV002558140000
01540,000000007d3d,20150104,143407,99993,MP_MISSINGPROGRAM
01540,000000007d3d,20150104,143420,79051,SP003125620000
01540,000000007d3d,20150104,143430,30754,EP000031281216
01540,000000007d3d,20150104,143438,62077,EP007199780108
01540,000000007d3d,20150104,143445,31709,EP014195350017
01540,000000007d3d,20150104,143456,58515,MV001214800000
01540,000000007d3d,20150104,143516,99993,MP_MISSINGPROGRAM
01540,000000007d3d,20150104,143526,60179,EP001777901015
01540,000000007d3d,20150104,143538,99993,MP_MISSINGPROGRAM
01540,000000007d3d,20150104,143557,55887,MV002558140000
01540,000000007d3d,20150104,143609,36205,EP000037900749
01540,000000007d3d,20150104,143632,55887,MV002558140000
01540,000000007d3d,20150104,143654,99993,MP_MISSINGPROGRAM
01540,000000007d3d,20150104,143702,32645,EP019268370001
01540,000000007d3d,20150104,143840,99993,MP_MISSINGPROGRAM
01540,000000007d3d,20150104,143847,49691,SP003033410000
01540,000000007d3d,20150104,143853,99993,MP_MISSINGPROGRAM
01540,000000007d3d,20150104,143922,61812,EP020218320004
01540,000000007d3d,20150104,143928,16616,EP004154020132
01540,000000007d3d,20150104,143942,99993,MP_MISSINGPROGRAM
01540,000000007d3d,20150104,144007,20359,SH017950540000
01540,000000007d3d,20150104,144018,60046,MV000348330000
01540,000000007d3d,20150104,144026,63236,MV000359960000
01540,000000007d3d,20150104,145513,99993,MP_MISSINGPROGRAM
01540,000000007d3d,20150104,145523,36205,EP000037900749
01540,000000007d3d,20150104,145530,99993,MP_MISSINGPROGRAM
01540,000000007d3d,20150104,145544,58515,MV001214800000
01540,000000007d3d,20150104,150748,18480,MV002558140000
01540,000000007d3d,20150104,150806,10918,MV006306730000
01540,000000007d3d,20150104,151002,70387,EP018630340001
01540,000000007d3d,20150104,151020,10057,EP010830320209
01540,000000007d3d,20150104,151027,11158,EP013187710080
01540,000000007d3d,20150104,151145,11221,MV005607090000
01540,000000007d3d,20150104,151153,11158,EP013187710080
01540,000000007d3d,20150104,153305,11221,MV005607090000
01540,000000007d3d,20150104,153320,10142,SH000690190000
01540,000000007d3d,20150104,153334,10145,EP003915550528
01540,000000007d3d,20150104,153744,11069,EP011588160032
01540,000000007d3d,20150104,160000,11069,SH013217640000
01540,000000007d3d,20150104,163052,19600,EP000031281283
01540,000000007d3d,20150104,193000,19600,SH007795570000
01540,000000007d3d,20150104,200000,19600,EP000186930566
01540,000000007d3d,20150104,200024,32645,SH000369920000
01540,000000007d3d,20150104,204010,99993,MP_MISSINGPROGRAM
01540,000000007d3d,20150104,204027,36212,EP005502520289
01540,000000007d3d,20150104,204033,36205,EP020732470002
01540,000000007d3d,20150104,204041,99993,MP_MISSINGPROGRAM
01540,000000007d3d,20150104,204101,58515,EP009311820019
01540,000000007d3d,20150104,205645,99993,MP_MISSINGPROGRAM
01540,000000007d3d,20150104,205657,79051,EP000018489706
01540,000000007d3d,20150104,205706,36205,EP020732470002
01540,000000007d3d,20150104,210000,36205,EP010883320121
01540,000000007d3d,20150104,210000,79051,EP008033970147
01540,000000007d3d,20150104,220600,36205,SH020325450000
01540,000000007d3d,20150104,230000,79051,EP004267810064
01540,000000007d3d,20150104,230300,36205,EP000004390492
01540,000000007f69,20150104,125553,31226,SH020414170000
01540,000000007f69,20150104,125917,30754,SH002769000000
01540,000000007f69,20150104,125932,32645,SH020520650000
01540,000000007f69,20150104,130000,32645,EP005544700493
01540,000000007f69,20150104,130030,30754,EP000031281216
01540,000000007f69,20150104,131743,49691,SP003033410000
01540,000000007f69,20150104,132023,30754,EP000031281216
01540,000000007f69,20150104,203755,30754,EP019222940012
01540,000000007f69,20150104,203833,35481,EP008033970145
01540,000000007f69,20150104,203916,32645,SH000369920000
01540,000000007f69,20150104,210000,32645,EP000009937448
01540,000000007f69,20150104,210000,35481,EP004267810069
01540,000000007f69,20150104,230000,35481,EP000020872422
01540,000000008002,20150104,081654,10149,EP002886380144
01540,000000008002,20150104,081813,58530,MV000060720000
01540,000000008002,20150104,093152,34763,MV003231490000
01540,000000008002,20150104,110000,34763,MV001972350000
01540,000000008002,20150104,112105,58530,MV000798550000
01540,000000008002,20150104,112249,34763,MV001972350000
01540,000000008002,20150104,112256,58530,MV000798550000
01540,000000008002,20150104,112454,34763,MV001972350000
01540,000000008002,20150104,113455,58530,MV000798550000
01540,000000008002,20150104,113704,34763,MV001972350000
01540,000000008002,20150104,113713,58530,MV000798550000
01540,000000008002,20150104,113923,34763,MV001972350000
01540,000000008002,20150104,114541,58530,MV000798550000
01540,000000008002,20150104,114904,34763,MV001972350000
01540,000000008002,20150104,114910,58530,MV000798550000
01540,000000008002,20150104,114945,34763,MV001972350000
01540,000000008002,20150104,115629,58530,MV000798550000
01540,000000008002,20150104,115823,34763,MV001972350000
01540,000000008002,20150104,115829,58530,MV000798550000
01540,000000008002,20150104,115933,34763,MV001972350000
01540,000000008002,20150104,115941,58530,MV000798550000
01540,000000008002,20150104,120002,58530,MV000083200000
01540,000000008002,20150104,120012,34763,MV001972350000
01540,000000008002,20150104,120949,58530,MV000083200000
01540,000000008002,20150104,121431,34763,MV001972350000
01540,000000008002,20150104,122644,58530,MV000083200000
01540,000000008002,20150104,123136,34763,MV001972350000
01540,000000008002,20150104,130000,34763,MV002435260000
01540,000000008002,20150104,130906,58530,MV000083200000
01540,000000008002,20150104,131840,58515,MV001173170000
01540,000000008002,20150104,131851,30754,EP000031281216
01540,000000008002,20150104,131946,66268,MV006650740000
01540,000000008002,20150104,132012,31711,MV000354490000
01540,000000008002,20150104,132137,30754,EP000031281216
01540,000000008002,20150104,132200,66268,MV006650740000
01540,000000008002,20150104,133219,30754,EP000031281216
01540,000000008002,20150104,133440,66268,MV006650740000
01540,000000008002,20150104,133633,66268,MV006650740000
01540,000000008002,20150104,134805,30754,EP000031281216
01540,000000008002,20150104,134935,66268,MV006650740000
01540,000000008002,20150104,135008,30754,EP000031281216
01540,000000008002,20150104,135148,66268,MV006650740000
01540,000000008002,20150104,140218,30754,EP000031281216
01540,000000008002,20150104,140429,66268,MV006650740000
01540,000000008002,20150104,140610,30754,EP000031281216
01540,000000008002,20150104,140707,66268,MV006650740000
01540,000000008002,20150104,141354,30754,EP000031281216
01540,000000008002,20150104,141614,99993,MP_MISSINGPROGRAM
01540,000000008002,20150104,141621,66268,MV006650740000
01540,000000008002,20150104,142337,30754,EP000031281216
01540,000000008002,20150104,142648,66268,MV006650740000
01540,000000008002,20150104,143432,30754,EP000031281216
01540,000000008002,20150104,143627,66268,MV006650740000
01540,000000008002,20150104,143636,30754,EP000031281216
01540,000000008002,20150104,143712,66268,MV006650740000
01540,000000008002,20150104,144715,30754,EP000031281216
